facility_id,city,state,year,industry_type,co2_emissions,unit_methane_emissions,unit_nitrous_oxide_emissions
1010917,Baytown,TX,2021,"C,NN,W",325962.1,153.5,182.972
1007624,OKLAHOMA CITY,OK,2021,"C,HH",3.8,0.0,0.0
1013640,Okeechobee,FL,2021,D,1127644.6,523.0,628.78
1003619,Okeechobee,FL,2021,"C,HH",25.8,0.0,0.0
1006257,Ninnekah,OK,2021,"C,HH",77.2,0.0,0.298
1001634,STILLWATER,OK,2021,C,24533.4,12.0,14.9
1005517,GILROY,CA,2021,C,232.4,0.0,0.0
1000891,Firebaugh,CA,2021,C,20056.6,9.5,11.324
1010345,Lemoore,CA,2021,C,501.6,0.25,0.298
1006808,COCOA,FL,2021,"C,D",149.7,0.0,0.0
1011834,Freeport,TX,2021,"C,P,X",7102.2,3.25,3.874
1009832,Niagara Falls,NY,2021,C,16611.0,7.75,9.238
1011837,St. Gabriel,LA,2021,C,8664.0,4.0,4.768
1011241,Charleston,TN,2021,C,41665.4,19.75,23.84
1005528,ROCHESTER,MN,2021,C,1.5,0.0,0.0
1001971,CHINO,CA,2021,C,6099.5,2.75,3.278
1011251,Florence,VT,2021,C,29496.7,14.25,17.582
1008930,Pocatello,ID,2021,"C,I",8225.5,4.0,4.768
1007527,Gresham,OR,2021,"C,I",17685.9,8.25,9.834
1002356,GIBSON CITY,IL,2021,C,190544.7,89.75,106.982
1004715,Bushton,KS,2021,"C,NN,W",323184.8,152.25,181.482
1007570,BROKEN ARROW,OK,2021,"C,D",1189.9,0.5,0.596
1006772,JAMESVILLE,NY,2021,C,143123.04,3131.5,4899.12
1006148,THEODORE,AL,2021,"C,W",21851.8,10.25,12.218
1005257,STANLEY,NY,2021,"C,HH",48.8,0.0,0.0
1001356,READING,PA,2021,"C,D",848.6,0.5,0.596
1002078,OPAL,WY,2021,"C,NN,W",211828.4,99.75,118.902
1012647,Opelousas,LA,2021,"C,W",2560.6,1.25,1.49
1000255,CHANNELVIEW,TX,2021,D,321219.9,149.0,178.8
1006890,BAY CITY,TX,2021,C,32891.3,44.75,106.982
1003781,Orange,TX,2021,"C,X",7400.9,3.5,4.172
1001272,BARTOW,FL,2021,"C,D",14198.8,6.75,8.046
1011227,New Hampton,NY,2021,"C,HH",57.8,0.0,0.0
1000548,Pala,CA,2021,D,4073.8,2.0,2.98
1002684,WATERVLIET,MI,2021,"C,HH",4.1,0.0,0.0
1006876,MENOMONEE FALLS,WI,2021,"C,HH",3253.6,1.5,1.788
1012932,Oregon,OH,2021,"C,D",1099338.9,509.75,613.88
1004658,CORVALLIS,OR,2021,C,35468.2,16.75,20.264
1007626,FRANKLIN,LA,2021,"C,X",4674.9,2.25,2.682
1013400,Orla,TX,2021,"C,W",17459.2,8.25,9.834
1001276,ORLANDO,FL,2021,D,440010.9,204.0,244.36
1013955,Keene,ND,2021,"C,W",47650.0,22.5,26.82
1012616,Alexander,ND,2021,"C,W",25180.1,11.75,14.006
1003263,ORRVILLE,OH,2021,C,16903.1,4.25,82.546
1004710,Bartlesville,OK,2021,"C,HH",17.3,0.0,0.0
1012564,Jackosn,OH,2021,C,23944.5,49.5,84.93
1000107,AUBURNDALE,FL,2021,D,476254.1,220.75,265.22
1001368,Little Rock,AR,2021,"C,D",34548.2,16.0,17.88
1006910,Fulton,NY,2021,C,146.0,0.0,0.0
1006915,OSWEGO,NY,2021,"C,D",17307.6,23.75,47.68
1000796,SAN DIEGO,CA,2021,D,385788.6,184.0,220.52
1000248,OTSEGO,MI,2021,C,1690.0,0.75,0.894
1007027,COOPERSVILLE,MI,2021,"C,HH",25.2,0.0,0.0
1004484,PORT CLINTON,OH,2021,"C,HH",18.2,0.0,0.0
